163335	r. Wolf-Rayet
163328	q. Chem. Peculiar
163333	p. Per. Var. SG
163324	g. RR Lyrae FM
163326	a. Mira
163329	n. Gamma Doradus
163331	j. Delta Scuti
163325	a. Mira
163336	q. Chem. Peculiar
163330	g. RR Lyrae FM
163338	q. Chem. Peculiar
163342	t. Herbig AE/BE
163327	r. Wolf-Rayet
163337	p. Per. Var. SG
163341	e. Pop. II Cepheid
163343	v. Ellipsoidal
163344	p. Per. Var. SG
163346	j. Delta Scuti
163350	a. Mira
163348	q. Chem. Peculiar
163345	d. Classical Cepheid
163351	d. Classical Cepheid
163349	a. Mira
163353	p. Per. Var. SG
163354	j1. SX Phe
163357	j. Delta Scuti
163359	r. Wolf-Rayet
163355	e. Pop. II Cepheid
163366	n. Gamma Doradus
163363	b1. Semireg PV
163365	r. Wolf-Rayet
163364	h. RR Lyrae FO
163362	a. Mira
163361	a. Mira
163369	p. Per. Var. SG
163367	d. Classical Cepheid
163371	m. Slowly Puls. B
163373	a. Mira
163370	d. Classical Cepheid
163375	s1. Class. T Tauri
163378	p. Per. Var. SG
163376	l. Beta Cephei
163379	m. Slowly Puls. B
163382	q. Chem. Peculiar
163385	j. Delta Scuti
163380	b1. Semireg PV
163384	n. Gamma Doradus
163386	r. Wolf-Rayet
163387	g. RR Lyrae FM
163389	m. Slowly Puls. B
163388	g. RR Lyrae FM
163390	l. Beta Cephei
163392	k. Lambda Bootis
163394	j. Delta Scuti
163395	l. Beta Cephei
163396	r. Wolf-Rayet
163399	d. Classical Cepheid
163398	a. Mira
163408	h. RR Lyrae FO
163401	g. RR Lyrae FM
163402	k. Lambda Bootis
163400	a. Mira
163407	l. Beta Cephei
163409	v. Ellipsoidal
163404	j. Delta Scuti
163413	k. Lambda Bootis
163412	g. RR Lyrae FM
163419	l. Beta Cephei
163416	v. Ellipsoidal
163417	q. Chem. Peculiar
163410	n. Gamma Doradus
163414	p. Per. Var. SG
163420	j. Delta Scuti
163427	d. Classical Cepheid
163422	a. Mira
163425	q. Chem. Peculiar
163428	d. Classical Cepheid
163429	h. RR Lyrae FO
163424	m. Slowly Puls. B
163426	k. Lambda Bootis
163437	t. Herbig AE/BE
163434	s1. Class. T Tauri
163438	j. Delta Scuti
163432	t. Herbig AE/BE
163436	q. Chem. Peculiar
163433	v. Ellipsoidal
163435	j. Delta Scuti
163439	j. Delta Scuti
163441	d. Classical Cepheid
163443	h. RR Lyrae FO
163445	s1. Class. T Tauri
163450	q. Chem. Peculiar
163444	k. Lambda Bootis
163451	l. Beta Cephei
163448	p. Per. Var. SG
163447	d. Classical Cepheid
163452	p. Per. Var. SG
163446	a. Mira
163454	a. Mira
163457	g. RR Lyrae FM
163453	j. Delta Scuti
163459	a. Mira
163456	p. Per. Var. SG
163462	d. Classical Cepheid
163458	b1. Semireg PV
163461	j. Delta Scuti
163470	a. Mira
163465	g. RR Lyrae FM
163467	j. Delta Scuti
163469	d. Classical Cepheid
163472	j. Delta Scuti
163466	p. Per. Var. SG
163475	q. Chem. Peculiar
163480	s1. Class. T Tauri
163474	e. Pop. II Cepheid
163479	k. Lambda Bootis
163478	d. Classical Cepheid
163481	l. Beta Cephei
163473	a. Mira
163477	r. Wolf-Rayet
163482	r. Wolf-Rayet
163485	j. Delta Scuti
163488	d. Classical Cepheid
163483	p. Per. Var. SG
163486	m. Slowly Puls. B
163484	p. Per. Var. SG
163492	j. Delta Scuti
163487	d. Classical Cepheid
163491	p. Per. Var. SG
163489	a. Mira
163501	j. Delta Scuti
163494	j. Delta Scuti
163498	l. Beta Cephei
163497	g. RR Lyrae FM
163495	j1. SX Phe
163496	g. RR Lyrae FM
163503	j. Delta Scuti
163504	j. Delta Scuti
163512	t. Herbig AE/BE
163506	n. Gamma Doradus
163505	j. Delta Scuti
163513	m. Slowly Puls. B
163507	p. Per. Var. SG
163508	m. Slowly Puls. B
163511	q. Chem. Peculiar
163510	p. Per. Var. SG
163520	p. Per. Var. SG
163515	r. Wolf-Rayet
163522	d. Classical Cepheid
163521	n. Gamma Doradus
163523	b1. Semireg PV
163519	j. Delta Scuti
163518	k. Lambda Bootis
163514	p. Per. Var. SG
163524	n. Gamma Doradus
163525	j. Delta Scuti
163530	d. Classical Cepheid
163532	r. Wolf-Rayet
163529	m. Slowly Puls. B
163527	d. Classical Cepheid
163528	j. Delta Scuti
163538	e. Pop. II Cepheid
163541	d. Classical Cepheid
163537	d. Classical Cepheid
163540	d. Classical Cepheid
163542	b1. Semireg PV
163544	p. Per. Var. SG
163536	d. Classical Cepheid
163539	a. Mira
163543	g. RR Lyrae FM
163546	r. Wolf-Rayet
163545	l. Beta Cephei
163548	d. Classical Cepheid
163550	j. Delta Scuti
163552	a. Mira
163551	j. Delta Scuti
163553	t. Herbig AE/BE
163554	p. Per. Var. SG
163556	j. Delta Scuti
163560	q. Chem. Peculiar
163565	g. RR Lyrae FM
163566	u. S Doradus
163564	r. Wolf-Rayet
163558	g. RR Lyrae FM
163563	a. Mira
163569	d. Classical Cepheid
163577	d. Classical Cepheid
163575	l. Beta Cephei
163570	l. Beta Cephei
163576	b1. Semireg PV
163568	p. Per. Var. SG
163571	d. Classical Cepheid
163573	j. Delta Scuti
163574	b1. Semireg PV
163587	p. Per. Var. SG
163581	g. RR Lyrae FM
163584	a. Mira
163585	s1. Class. T Tauri
163583	g. RR Lyrae FM
163586	n. Gamma Doradus
163580	d. Classical Cepheid
163582	a. Mira
163579	d. Classical Cepheid
163591	n. Gamma Doradus
163593	e. Pop. II Cepheid
163595	e. Pop. II Cepheid
163594	d. Classical Cepheid
163596	a. Mira
163597	r. Wolf-Rayet
163598	l. Beta Cephei
163602	b1. Semireg PV
163603	d. Classical Cepheid
163605	q. Chem. Peculiar
163600	j. Delta Scuti
163604	j. Delta Scuti
163608	j. Delta Scuti
163615	q. Chem. Peculiar
163616	p. Per. Var. SG
163613	j. Delta Scuti
163610	q. Chem. Peculiar
163614	j1. SX Phe
163617	q. Chem. Peculiar
163618	g. RR Lyrae FM
163623	k. Lambda Bootis
163619	r. Wolf-Rayet
163621	d. Classical Cepheid
163620	d. Classical Cepheid
163622	p. Per. Var. SG
163625	g. RR Lyrae FM
163627	g. RR Lyrae FM
163626	a. Mira
163624	a. Mira
163630	q. Chem. Peculiar
163635	j. Delta Scuti
163632	j. Delta Scuti
163633	a. Mira
163637	l. Beta Cephei
163636	r. Wolf-Rayet
163629	n. Gamma Doradus
163634	j. Delta Scuti
163638	r. Wolf-Rayet
163643	v. Ellipsoidal
163642	p. Per. Var. SG
163639	j. Delta Scuti
163644	h. RR Lyrae FO
163645	l. Beta Cephei
163647	p. Per. Var. SG
163646	d. Classical Cepheid
163649	d. Classical Cepheid
163641	d. Classical Cepheid
163658	j. Delta Scuti
163652	j. Delta Scuti
163653	g. RR Lyrae FM
163655	m. Slowly Puls. B
163654	d. Classical Cepheid
163656	j. Delta Scuti
163659	d. Classical Cepheid
163657	d. Classical Cepheid
163666	a. Mira
163664	j. Delta Scuti
163663	h. RR Lyrae FO
163669	j. Delta Scuti
163667	p. Per. Var. SG
163661	e. Pop. II Cepheid
163662	n. Gamma Doradus
163660	b1. Semireg PV
163668	j. Delta Scuti
163665	a. Mira
163671	p. Per. Var. SG
163677	e. Pop. II Cepheid
163673	q. Chem. Peculiar
163674	d. Classical Cepheid
163670	b1. Semireg PV
163676	u. S Doradus
163679	q. Chem. Peculiar
163678	r. Wolf-Rayet
163683	j. Delta Scuti
163688	a. Mira
163681	g. RR Lyrae FM
163686	r. Wolf-Rayet
163687	r. Wolf-Rayet
163685	n. Gamma Doradus
163680	p. Per. Var. SG
163689	p. Per. Var. SG
163691	j. Delta Scuti
163693	g. RR Lyrae FM
163697	m. Slowly Puls. B
163696	q. Chem. Peculiar
163695	l. Beta Cephei
163702	d. Classical Cepheid
163698	j. Delta Scuti
163699	m. Slowly Puls. B
163700	a. Mira
163707	d. Classical Cepheid
163701	p. Per. Var. SG
163706	m. Slowly Puls. B
163705	l. Beta Cephei
163708	d. Classical Cepheid
163710	a. Mira
163712	j. Delta Scuti
163713	l. Beta Cephei
163715	p. Per. Var. SG
163714	j. Delta Scuti
163717	g. RR Lyrae FM
163723	j. Delta Scuti
163719	q. Chem. Peculiar
163725	r. Wolf-Rayet
163720	q. Chem. Peculiar
163724	d. Classical Cepheid
163727	p. Per. Var. SG
163721	q. Chem. Peculiar
163733	p. Per. Var. SG
163737	g. RR Lyrae FM
163730	d. Classical Cepheid
163731	p. Per. Var. SG
163729	d. Classical Cepheid
163735	j. Delta Scuti
163732	d. Classical Cepheid
163738	t. Herbig AE/BE
163740	j. Delta Scuti
163741	n. Gamma Doradus
163744	d. Classical Cepheid
163743	v. Ellipsoidal
163742	d. Classical Cepheid
163745	d. Classical Cepheid
163746	j. Delta Scuti
163749	j. Delta Scuti
163754	b1. Semireg PV
163752	j. Delta Scuti
163751	j. Delta Scuti
163756	d. Classical Cepheid
163757	b1. Semireg PV
163750	a. Mira
163760	n. Gamma Doradus
163763	g. RR Lyrae FM
163766	r. Wolf-Rayet
163764	u. S Doradus
163762	s1. Class. T Tauri
163758	d. Classical Cepheid
163771	j. Delta Scuti
163774	q. Chem. Peculiar
163776	d. Classical Cepheid
163777	p. Per. Var. SG
163770	n. Gamma Doradus
163778	t. Herbig AE/BE
163782	j. Delta Scuti
163780	j. Delta Scuti
163785	d. Classical Cepheid
163787	g. RR Lyrae FM
163784	n. Gamma Doradus
163781	u. S Doradus
163786	v. Ellipsoidal
163783	g. RR Lyrae FM
163790	q. Chem. Peculiar
163795	n. Gamma Doradus
163789	d. Classical Cepheid
163793	p. Per. Var. SG
163788	a. Mira
163796	l. Beta Cephei
163798	p. Per. Var. SG
163801	r. Wolf-Rayet
163804	m. Slowly Puls. B
163808	d. Classical Cepheid
163800	j. Delta Scuti
163807	p. Per. Var. SG
163802	l. Beta Cephei
163811	j. Delta Scuti
163817	d. Classical Cepheid
163812	h. RR Lyrae FO
163818	e. Pop. II Cepheid
163816	d. Classical Cepheid
163810	p. Per. Var. SG
163809	j. Delta Scuti
163815	b1. Semireg PV
163813	r. Wolf-Rayet
163820	d. Classical Cepheid
163821	q. Chem. Peculiar
163826	e. Pop. II Cepheid
163828	g. RR Lyrae FM
163824	d. Classical Cepheid
163834	g. RR Lyrae FM
163832	j. Delta Scuti
163835	j. Delta Scuti
163833	q. Chem. Peculiar
163829	d. Classical Cepheid
163831	l. Beta Cephei
163837	b1. Semireg PV
163839	d. Classical Cepheid
163843	j. Delta Scuti
163842	g. RR Lyrae FM
163846	q. Chem. Peculiar
163840	d. Classical Cepheid
163844	l. Beta Cephei
163847	k. Lambda Bootis
163845	a. Mira
163848	b1. Semireg PV
163852	n. Gamma Doradus
163855	p. Per. Var. SG
163858	b1. Semireg PV
163851	a. Mira
163856	j. Delta Scuti
163857	q. Chem. Peculiar
163860	j. Delta Scuti
163861	a. Mira
163869	n. Gamma Doradus
163863	d. Classical Cepheid
163862	p. Per. Var. SG
163867	a. Mira
163868	a. Mira
163865	d. Classical Cepheid
163871	d. Classical Cepheid
163864	j. Delta Scuti
163873	j. Delta Scuti
163875	m. Slowly Puls. B
163879	j. Delta Scuti
163880	g. RR Lyrae FM
163872	d. Classical Cepheid
163881	j. Delta Scuti
163876	r. Wolf-Rayet
163877	a. Mira
163884	q. Chem. Peculiar
163882	m. Slowly Puls. B
163890	g. RR Lyrae FM
163888	l. Beta Cephei
163883	j. Delta Scuti
163887	d. Classical Cepheid
163886	d. Classical Cepheid
163885	d. Classical Cepheid
163891	q. Chem. Peculiar
163889	j. Delta Scuti
163898	r. Wolf-Rayet
163899	d. Classical Cepheid
163901	r. Wolf-Rayet
163897	r. Wolf-Rayet
163895	n. Gamma Doradus
163892	n. Gamma Doradus
163893	d. Classical Cepheid
163900	v. Ellipsoidal
163903	j. Delta Scuti
163902	j. Delta Scuti
163906	k. Lambda Bootis
163904	d. Classical Cepheid
163909	g. RR Lyrae FM
163908	d. Classical Cepheid
163912	d. Classical Cepheid
163917	d. Classical Cepheid
163918	a. Mira
163920	d. Classical Cepheid
163913	d. Classical Cepheid
163919	b1. Semireg PV
163923	m. Slowly Puls. B
163922	j. Delta Scuti
163926	j. Delta Scuti
163925	p. Per. Var. SG
163927	r. Wolf-Rayet
163928	n. Gamma Doradus
163929	a. Mira
163931	j. Delta Scuti
163933	g. RR Lyrae FM
163932	j. Delta Scuti
163930	d. Classical Cepheid
163934	p. Per. Var. SG
163935	g. RR Lyrae FM
163938	g. RR Lyrae FM
163936	n. Gamma Doradus
163939	d. Classical Cepheid
163942	v. Ellipsoidal
163941	q. Chem. Peculiar
163943	d. Classical Cepheid
163944	l. Beta Cephei
163949	d. Classical Cepheid
163952	q. Chem. Peculiar
163947	d. Classical Cepheid
163951	k. Lambda Bootis
163946	m. Slowly Puls. B
163953	m. Slowly Puls. B
163950	b1. Semireg PV
163958	r. Wolf-Rayet
163954	g. RR Lyrae FM
163955	l. Beta Cephei
163957	d. Classical Cepheid
163962	p. Per. Var. SG
163960	j. Delta Scuti
163959	d. Classical Cepheid
163961	d. Classical Cepheid
163964	q. Chem. Peculiar
163967	m. Slowly Puls. B
163973	d. Classical Cepheid
163969	v. Ellipsoidal
163966	p. Per. Var. SG
163972	j. Delta Scuti
163968	n. Gamma Doradus
163971	b1. Semireg PV
163974	r. Wolf-Rayet
163975	l. Beta Cephei
163978	q. Chem. Peculiar
163982	k. Lambda Bootis
163977	p. Per. Var. SG
163980	p. Per. Var. SG
163984	g. RR Lyrae FM
163988	r. Wolf-Rayet
163992	l. Beta Cephei
163986	b1. Semireg PV
163990	a. Mira
163993	g. RR Lyrae FM
163996	j. Delta Scuti
163999	j. Delta Scuti
163997	b1. Semireg PV
164003	b1. Semireg PV
164000	c. RV Tauri
164005	m. Slowly Puls. B
164004	p. Per. Var. SG
164008	q. Chem. Peculiar
164012	q. Chem. Peculiar
164007	a. Mira
164010	m. Slowly Puls. B
164009	m. Slowly Puls. B
